Station,Pool,Data logger,Bad VZ,Bad HY,6Hz-Z,Preferred,HZ RMS,HZ noise,VZ/HY signal,Comment (CP 2017),Comment (EH 2016),Eval
101,SIO,SP,,,XXX,,7.96,15.28,1.92,"HYD prearrival noise ~x2 compared to Z. A LOT of Z traces have 6Hz noise, often larger than signal.",,OK
102,SIO,SP,,,XXX,,6.14,10.34,1.68,Similar noise. Z with a lot of 6Hz noise. HYD a lot of pre-arrival noise >18Hz (do not use),,OK
103,WHOI,,,,,,0.85,1.98,2.32,HYD prearrival noise ~x2 compared to Z.,attenuation from -5 km to west,OK
104,SIO,SP,,,X,,7.24,12.26,1.69,"Low f noise in Z (sometimes at ~6Hz, not always). Z slightly better pre-arrival noise than HYD. High f noise in HYD (>18Hz)",,OK
105,WHOI,,,,,,0.70,1.72,2.44,HYD prearrival noise ~x2 compared to Z. Prefer Z,,OK
106,SIO,SP,,,XX,,8.59,14.61,1.70,"Low f noise in Z (stongly at ~6Hz, not always). Z slightly better pre-arrival noise than HYD. High f noise in HYD (>20Hz)",,OK
107,SIO,SP,,,,,,,,Bad data,BAD - data cut issue?,Not picked
108,WHOI,,,,,,0.65,0.97,1.50,"HYD/Z same quality, same noise",,OK
109,SIO,13,X,,,HYD,392.49,70.71,0.18,"Z has anomaloysly low-count level (x20 times), and much more pre-arrival noise for F>~8Hz, but waveforms can be recognized. Prefer HYD.",,OK
110,WHOI,,,,,,0.81,1.10,1.36,Z slightly better pre-arrival noise than HYD,attenuation from -5 km to west,OK
112,SIO,SP,,,XXX,HYD,7.57,11.39,1.50,A lot of 6Hz noise on Z. HYD has some more noise >20hz. Use HYD,attenuation from -5 km to west,OK
113,SIO,SP,,,XXX,HYD,7.70,12.18,1.58,A lot of 6Hz noise on Z. HYD has some more noise >22hz. Use HYD,,OK
114,SIO,SP,,,XXX,HYD,7.28,4.74,0.65,A lot of 6Hz noise on Z. HYD has some more noise >22hz. Use HYD,,OK
