,id,gx,gy,pool
0,101,22644,17418,SIO
28462,102,15856,17053,SIO
1650796,103,4925,17117,WHOI
56924,104,18674,13806,SIO
1679258,105,12107,13590,WHOI
85386,106,6395,13689,SIO
113848,107,-44,13648,SIO
1707720,108,-10604,13344,WHOI
142310,109,22968,10615,SIO
1736182,110,18939,10285,WHOI
170772,112,9410,10378,SIO
199234,113,4067,10474,SIO
227696,114,-99,10906,SIO
1764644,115,-6934,10028,WHOI
1793106,117,-21896,10169,WHOI
256158,118,-32502,10155,SIO
284620,119,49515,7249,SIO
313082,120,44121,6939,SIO
1821568,121,35418,7560,WHOI
341544,122,30357,7134,SIO
1850030,123,24030,7042,WHOI
370006,124,17754,6945,SIO
398468,125,9146,6925,SIO
426930,126,-10472,6960,SIO
1878492,127,-16945,6852,WHOI
455392,128,-19748,7086,SIO
483854,129,-23009,6881,SIO
512316,130,-26384,6864,SIO
540778,131,-29583,6748,SIO
569240,132,-36044,6729,SIO
597702,133,-40132,6919,SIO
626164,134,-44721,6868,SIO
654626,135,39941,4294,SIO
683088,136,27389,4308,SIO
711550,137,21062,4307,SIO
1906954,138,14647,4340,WHOI
1935416,139,8863,4208,WHOI
1963878,140,27,4054,WHOI
740012,141,-6953,3956,SIO
768474,142,-9902,4436,SIO
796936,143,-13113,3956,SIO
825398,144,-17540,4329,SIO
853860,145,-21018,4281,SIO
1992340,146,-22967,4260,WHOI
2020802,147,-26434,4254,WHOI
2049264,148,-32376,4006,WHOI
882322,149,-34727,4118,SIO
2077726,150,-38898,4065,WHOI
2106188,151,-43831,4212,WHOI
2134650,153,52476,2045,WHOI
910784,154,44220,1889,SIO
939246,155,36876,1892,SIO
2163112,156,30567,1810,WHOI
967708,157,17805,1701,SIO
996170,158,11431,1678,SIO
1024632,160,-1301,2667,SIO
1053094,161,-7161,1980,SIO
2191574,162,-10605,1575,WHOI
1081556,163,-13264,1831,SIO
2220036,164,-16827,1554,WHOI
1110018,165,-19783,1641,SIO
1138480,166,-22923,1564,SIO
1166942,167,-26909,1593,SIO
1195404,168,-30899,1701,SIO
1223866,169,-36083,1602,SIO
2248498,170,-42320,1512,WHOI
1252328,171,-46355,1691,SIO
2276960,172,-51526,1778,WHOI
1280790,173,48136,-919,SIO
2305422,174,41326,-962,WHOI
1309252,175,33517,-797,SIO
2333884,176,21101,-960,WHOI
1337714,177,15197,-903,SIO
1366176,178,9821,-1040,SIO
1394638,179,-1131,-2295,SIO
2362346,180,-6295,-1104,WHOI
1423100,181,-11252,-1104,SIO
1451562,182,-14468,-1036,SIO
2390808,183,-17010,-942,WHOI
1480024,184,-19229,-1111,SIO
1508486,185,-21617,-920,SIO
2419270,186,-23888,-1071,WHOI
2447732,188,-28821,-1145,WHOI
1536948,189,-31763,-1044,SIO
2476194,190,-35252,-1265,WHOI
1565410,191,-38884,-1154,SIO
1593872,192,-42048,-1069,SIO
1622334,193,-48895,-783,SIO
2504656,801,2615,-5833,land
2518352,802,1978,-4735,land
2532048,803,2432,-2726,land
2545744,804,833,-8090,land
2559440,805,374,-4524,land
2573136,806,-484,-5684,land
2586832,808,2577,7575,land
2600528,809,4656,4771,land
2614224,810,5652,706,land
2627920,811,3165,1968,land
2641616,812,5164,-880,land
2655312,813,4914,-6672,land
2669008,814,3870,-5411,land
2682704,815,4945,-3392,land
2696400,816,3613,-1939,land
2712036,817,-4320,-2836,land
2727595,818,-3560,-4358,land
2741291,819,3999,-7014,land
2754987,820,2896,-7021,land
2768683,821,602,-7445,land
2782379,822,367,-770,land
2798015,823,3884,6374,land
2811711,824,5130,2825,land
2825407,825,441,257,land
2839103,826,-3358,3198,land
2852799,827,-2314,-4883,land
2866495,828,6780,-2820,land
2880191,829,-1614,123,land
2893887,830,-2415,5339,land
2907583,831,-2889,6321,land
2920024,832,1122,7475,land
