Shot Line,Pattern,Start Shot,End Shot,Lat. 1st shot,Long. 1st shot,Lat. last shot,Long. last shot,Shot spacing (m),Sequence,SOL (UTC),EOL (UTC),Duration (hrs),Speed (knots),Adjustment to shot origin time (sec),Other errors,Comment
1,P1,12243,12465,36.489291,24.889655,36.630716,25.259784,165,5,24/11/2015 16:00,24/11/2015 21:37,5.6,3.5,0.160,,
2,P1,11506,11763,36.623392,25.331915,36.459331,24.904271,165,4,24/11/2015 09:01,24/11/2015 15:32,6.5,3.6,0.160,,
3,P1,10977,11309,36.408521,24.864957,36.622516,25.416141,165,2,23/11/2015 22:39,24/11/2015 07:08,8.5,3.5,0.160,,
4,P1,9882,10503,36.782898,25.929588,36.38203,24.898195,165,1,23/11/2015 05:32,23/11/2015 21:29,16.0,3.5,0.160,apparent shot origin time errors that have not been corrected or labelled yet, 34 Missing shots 1038-1071
5,P1,17234,17865,36.331531,24.862271,36.739036,25.909569,165,14,26/11/2015 18:35,27/11/2015 10:36,16.0,3.5,,,
6,P1,21841,22536,36.711959,25.928787,36.266924,24.773713,165,20,28/11/2015 21:30,29/11/2015 15:44,18.2,3.4,,,
7,P1,24113,24428,36.488872,25.440646,36.692456,25.963698,165,23,30/11/2015 01:39,30/11/2015 09:38,8.0,3.5,,,
8,P1,21024,21336,36.470143,25.458405,36.669042,25.977707,165,19,28/11/2015 12:50,28/11/2015 20:45,7.9,3.7,,,
9,P1,20202,20511,36.648539,25.984308,36.452972,25.468434,165,18,28/11/2015 04:42,28/11/2015 12:36,7.9,3.5,,,
10,P1,19387,19688,36.431004,25.501705,36.627136,25.999987,165,17,27/11/2015 20:33,28/11/2015 04:11,7.6,3.5,,,
11,P1,18568,18874,36.611127,26.019726,36.416769,25.509713,165,16,27/11/2015 12:33,27/11/2015 20:22,7.8,3.5,,,
12,P1,39787,40003,36.389473,25.51649,36.508569,25.830452,144,43,05/12/2015 13:37,05/12/2015 17:50,4.2,4.6,,,
13,P1,40479,40715,36.500864,25.849451,36.362773,25.511303,144,44,05/12/2015 18:13,05/12/2015 22:52,4.7,4.1,,,
14,P1,41472,41769,36.28282,25.374901,36.449349,25.804615,144,46,06/12/2015 01:35,06/12/2015 07:14,5.7,4.2,,,
15,P1,16420,16480,36.330046,25.360351,36.291774,25.260859,165,12,26/11/2015 13:04,26/11/2015 14:38,1.6,4.0,,,
16,P1,15615,15910,36.156193,24.84842,36.345176,25.337419,165,11,26/11/2015 05:18,26/11/2015 12:47,7.5,3.5,,,
17,P1,14820,15165,36.399942,25.416059,36.180294,24.844058,165,10,25/11/2015 19:47,26/11/2015 04:46,9.0,3.4,"0.160 before shot #15122, -0.2414 for shots 15133 and 15134",all shots also relocated,
18,P1,13994,14342,36.199815,24.82325,36.423061,25.400134,165,9,25/11/2015 10:34,25/11/2015 19:26,8.9,3.5,0.160,,
19,P1,13215,13502,36.40612,25.291461,36.221302,24.816173,165,8,25/11/2015 02:55,25/11/2015 10:12,7.3,3.5,0.160,,
20,P1,23017,23328,36.237467,24.788636,36.439214,25.303323,165,21,29/11/2015 16:13,30/11/2015 00:04,7.9,3.5,,,
21,P2,29708,30086,36.391516,25.417219,36.179389,24.870982,144,31,02/12/2015 02:52,02/12/2015 10:07,7.2,4.0,,,"4 Missing shots 29987 to 29991, mitigation 40 cu in gun  "
22,P2,35011,35360,36.424929,25.503788,36.618579,26.011033,144,37,04/12/2015 01:09,04/12/2015 07:57,6.8,4.1,,,
23,P2,34221,34573,36.639574,25.99694,36.442749,25.485812,144,36,03/12/2015 18:05,04/12/2015 00:52,6.8,4.1,,,
24,P2,27887,28246,36.191864,24.840004,36.396396,25.357089,144,27,01/12/2015 18:04,02/12/2015 01:01,7.0,3.9,,,
25,P2,27057,27390,36.399707,25.305616,36.212143,24.824899,144,26,01/12/2015 10:27,01/12/2015 16:57,6.5,4.3,,,
26,P2,33366,33723,36.460994,25.461511,36.657768,25.981256,144,35,03/12/2015 10:44,03/12/2015 17:40,6.9,4.0,,,
27,P2,32497,32859,36.6822,25.972643,36.476904,25.448242,144,34,03/12/2015 03:31,03/12/2015 10:31,7.0,4.0,,,
28,P2,29004,29032,36.429948,25.361897,36.446014,25.40217,144,29,02/12/2015 01:26,02/12/2015 02:01,0.6,4.1,,,
29,P2,26191,26540,36.224696,24.791942,36.416681,25.299679,144,25,01/12/2015 03:32,01/12/2015 10:14,6.7,4.1,,,
30,P2,31152,31956,36.253723,24.79268,36.703935,25.958052,144,33,02/12/2015 11:26,03/12/2015 03:05,15.7,4.0,,,
31,P2,24888,25702,36.732945,25.946005,36.277474,24.765559,144,24,30/11/2015 10:13,01/12/2015 02:00,15.8,4.2,,,Shots 25509 to 25550 at 3/4 volume
32,P1,12505,12656,36.628212,25.264661,36.425016,25.38385,165,6,24/11/2015 21:42,25/11/2015 01:37,3.9,3.5,0.160,,
33,P3,46119,46337,36.19252,24.876495,36.33253,25.237527,165,52,07/12/2015 08:45,07/12/2015 14:02,4.1,4.1,,,Missing shots 46137 to 46172 due to compressor failure
34,P3,45446,45619,36.329379,25.156893,36.217917,24.870622,165,51,07/12/2015 04:19,07/12/2015 08:09,3.8,4.0,,,
35,P3,44519,44680,36.243553,24.87325,36.347589,25.139597,165,50,07/12/2015 00:18,07/12/2015 03:54,3.6,4.0,,,
36,P3,43893,44056,36.365008,25.11553,36.259897,24.845694,165,49,06/12/2015 19:48,06/12/2015 23:25,3.6,4.0,,,
37,P3,38896,39275,36.717584,25.942922,36.477839,25.310014,165,42,05/12/2015 02:37,05/12/2015 10:43,8.1,4.1,,,Line cut short due to compressor failure: missing shots 39275 to 39786
