,fldr,sx,sy
0,9882,60987,17709
1,9883,60822,17704
2,9884,60658,17702
3,9885,60493,17701
4,9886,60328,17698
5,9887,60163,17700
6,9888,59999,17698
7,9889,59834,17697
8,9890,59669,17699
9,9891,59505,17698
10,9892,59340,17697
11,9893,59175,17696
12,9894,59010,17697
13,9895,58845,17696
14,9896,58681,17695
15,9897,58516,17693
16,9898,58351,17692
17,9899,58187,17691
18,9900,58022,17689
19,9901,57857,17689
20,9902,57692,17683
21,9903,57527,17677
22,9904,57363,17672
23,9905,57198,17671
24,9906,57034,17673
25,9907,56869,17677
26,9908,56704,17682
27,9909,56539,17687
28,9910,56374,17692
29,9911,56209,17694
30,9912,56045,17688
31,9913,55880,17682
32,9914,55715,17676
33,9915,55550,17672
34,9916,55386,17666
35,9917,55221,17664
36,9918,55056,17663
37,9919,54892,17662
38,9920,54727,17664
39,9921,54562,17666
40,9922,54397,17670
41,9923,54233,17673
42,9924,54068,17676
43,9925,53903,17678
44,9926,53738,17681
45,9927,53573,17686
46,9928,53408,17683
47,9929,53244,17678
48,9930,53079,17675
49,9931,52914,17674
50,9932,52749,17671
51,9933,52585,17669
52,9934,52420,17668
53,9935,52255,17666
54,9936,52090,17664
55,9937,51926,17661
56,9938,51761,17656
57,9939,51596,17653
58,9940,51431,17651
59,9941,51267,17646
60,9942,51102,17641
61,9943,50937,17638
62,9944,50773,17634
63,9945,50608,17636
64,9946,50443,17643
65,9947,50278,17642
66,9948,50113,17643
67,9949,49949,17642
68,9950,49784,17643
69,9951,49619,17645
70,9952,49455,17645
71,9953,49290,17647
72,9954,49125,17648
73,9955,48960,17649
74,9956,48796,17649
75,9957,48631,17647
76,9958,48466,17646
77,9959,48301,17645
78,9960,48137,17643
79,9961,47972,17643
80,9962,47807,17640
81,9963,47642,17636
82,9964,47478,17634
83,9965,47313,17633
84,9966,47148,17631
85,9967,46983,17630
86,9968,46819,17629
87,9969,46654,17629
88,9970,46489,17628
89,9971,46324,17627
90,9972,46160,17626
91,9973,45995,17624
92,9974,45830,17624
93,9975,45666,17624
94,9976,45501,17622
95,9977,45336,17622
96,9978,45171,17621
97,9979,45006,17623
98,9980,44842,17625
99,9981,44677,17627
100,9982,44512,17628
101,9983,44347,17628
102,9984,44182,17627
103,9985,44017,17624
104,9986,43853,17620
105,9987,43688,17618
106,9988,43524,17615
107,9989,43359,17615
108,9990,43194,17611
109,9991,43029,17605
110,9992,42864,17600
111,9993,42699,17597
112,9994,42535,17595
113,9995,42370,17595
114,9996,42205,17596
115,9997,42041,17596
116,9998,41876,17600
117,9999,41711,17602
118,10000,41547,17606
119,10001,41381,17609
120,10002,41216,17608
121,10003,41052,17603
